Page #,Question #,Question Text,Answer
147,55,According to the 2000 census in the UK what is now a religion,Jedi Knight
147,61,What film won the best makeup Oscar in 1988,Beetlejuice
147,65,What is the characters name of Agent 86,Maxwell Smart
147,66,What was the sequel to The Rocky Horror Picture Show,Shock Treatment
147,74,Estelle Parsons best supporting actress Oscar what 1967 film,Bonnie and Clyde
147,77,What family used to live in Bug Tussel,The Clampets
147,84,Who does the voiceover at the end of Michael Jackson's Thriller,Vincent Price
147,87,Which film won the best story and best song Oscars in 1969,Butch Cassidy and Sundance Kid
147,89,Which comedian and actors real first name were Leslie Townes,Bob Hope
147,90,In 1976 what show appeared on TV for the first time,Charlie Angels
147,92,The film 10 Rillington Place is based on which British serial killer,Reginald Christie
147,100,Lee Marvin won the best actor Oscar for what 1965 film,Cat Ballou
