Page #,Question #,Question Text,Answer
14,3,Who sailed in a ship called Queen Ann's Revenge,Blackbeard
14,6,Detective Philip Marlow smokes what brand,Camels
14,7,Who landed on Timor Island after being cast adrift,Captain Bligh
14,8,What is the more common name of the Chaparral Cock,The Road Runner
14,10,Ian Fleming's house was called Goldeneye - which country,Jamaica
14,11,Alfred Schneider became famous as who,Lenny Bruce
14,14,Who was the first black entertainer to win an Emmy award,Harry Bellefonte
14,15,Anthony Daniels played who in a series of films,C-P3O
14,18,Which author created Dick Tracy,Chester Gould
14,23,What was Walt Disney's middle name,Elias
14,39,In DC comics Linda Lee Danvers is whose alter ego,Supergirl
