Page #,Question #,Question Text,Answer
82,5,Chachi was a character in Happy days whats it mean in Korean,Penis
82,6,Frank Sinatra John Wayne Paul Newman rejected what role,Dirty Harry Callahan
82,13,Here comes the judge is from what TV show,"Rowan and Martins
Laugh In"
82,16,Apart from Star Trek Kirk Scott Spock Sulu (actors) what prog,The Twilight Zone
82,23,Zorro the heroes name means what in Spanish,The Fox
82,32,What science ficton author wrote about The Cities in Flight series,James Blish
82,33,What literary character was born on September 22 1290,Hobbit Bilbo Baggins
82,34,Patsy Mclenny became famous as who,Morgan Fairchild
82,40,What TV program first used the word hell,"Star Trek lets get the
hell outa here"
82,48,What make and model of car was Christine in the book and film,Plymouth Fury
