Page #,Question #,Question Text,Answer
129,51,Who won the best actor award for Marty in 1955,Ernest Borgnine
129,52,Name Helen of Troys husband,Menelaus
129,54,Captain W E Johns invented which hero,Biggles
129,55,The Passion Play is performed every 10 years where,Oberammergau
129,56,What was the theme music to The Exorcist,Tubular Bells – Mike Oldfield
129,57,Who directed Full Metal Jacket,Stanley Kubrick
129,65,What sort of wood was Noah's Ark made from,Gopher wood
129,69,In what city was Handel's Messiah first performed,Dublin
129,72,In Norse mythology who was Odin's wife,Frigga
129,73,Six verified copies of his signature survive - who is he,William Shakespeare
129,76,Which musical stage show ( and film ) uses tunes by Borodin,Kismet
129,83,Beethoven's ninth symphony is nicknamed what,The Choral
129,84,In Spain St John Bosco is the Patron Saint of what,Cinema
129,91,George Lazenby played James Bond once in which film,On Her Majesty's Secret Service
129,95,Greek Myth Clotho spun Lachesis measured Atropos cut what,Thread of a mans life
129,98,Vivaldi's concertos Opus 8 Numbers 1-4 better known as what,The four Seasons
129,99,In Tarka the Otter what was Old Nog,A Heron
