Page #,Question #,Question Text,Answer
103,51,Glen Morris was the last Olympic gold medallist to do what 1938 Act,Tarzan in Tarzans Revenge 1938
103,57,George W Trendle and Fran Striker created what Western hero,The Lone Ranger
103,59,What musical was produced on London stage 30 years after film,Singing in the Rain Tommy Steel 1983
103,60,What was Vivian Leigh’s character won Oscar in her 30s,Blanche Dubois
103,66,What is Supergirls Kryptonian name,Kara
103,67,Name the hero Len Deightons Ipcress File and Funeral in Berlin,Not named in books Harry Palmer in films
103,68,Who commanded Bill Jukes Cecco Noodler Skylights Starkey,Captain Hook
103,70,Robert Brown M Caroline Bliss Moneypenny who was Bond,Timothy Dalton
103,73,Can you see Lenny Bruce E A Poe Karl Marx H G Wells etc,Sergeant Peppers
103,76,Who played by Luther Adler Roy Goldman Peter Sellers etc,Adolf Hitler
103,78,Anna Maria Louisa Italiano changed her name to what,Anne Bancroft
103,82,Paul French George E Dale pseudonyms for what SF author,Isaac Asimov
103,89,Who made his debut in a 1955 Warner Brothers cartoon,Speedy Gonzales
103,90,What is the English title of Voyna i Mir,War and Peace
103,91,The stuff that dreams are made off - last words in what film,The Maltese Falcon
103,95,What was the name of Alistair Macleans first best selling novel,HMS Ulysses
103,96,Name the superspy man from Z.O.W.I.E. played James Coburn,Our Man Flint
103,99,Who wrote the musical The Desert Song,Sigmund Romberg
