Page #,Question #,Question Text,Answer
85,57,Cagney shoves grapefruit Mae Clarke face was going to be what,An Omelette
85,62,Rosalind Julia Portia Viola Cymbeline what links not obvious,Heroines dress as men
85,64,J Worthington Foulfeather was the name of what Disney character,The Fox in Pinocchio
85,65,What was the only film about Vietnam made during the war,The Green Berets
85,73,What are the names of the two cats in Disney's Lady + Tramp,Si and Am
85,75,Whose legs were banned from metro posters too distracting,Marlene Dietrich
85,87,What is Fonzies full name on Happy Days,Arthur Herbert Fonzerelli
85,88,Jacque Cousteau's ship Calypso used to be what before he got it,Minesweeper
85,89,What books original title was Murder in the Calais Coach,Murder on the Orient Express
85,90,What in reality was Dr McCoy's medical scanner in Star Trek,A Salt Shaker
85,93,Name first monochrome film converted electronically to colour,Yankee Doodle Dandy
85,95,What was the name of the baby in Three Men and a Baby,Mary
85,97,In what movie did Richard Drefus make his one line debut,The Graduate
