Page #,Question #,Question Text,Answer
16,2,What was Black Beauties original name,Darkie
16,5,What was Professor Moriarties first name,James
16,11,We know who wrote Little Women but who wrote Little Men,Lousia May Alcott
16,14,Who was Olive Oyls boyfriend - before Popeye,Ham Gravy
16,17,Who was the first actor to appear on cover of Time magazine,Charlie Chaplin
16,21,What nationality was Oddjob,Korean
16,24,Which film star used to be a circus acrobat,Burt Lancaster
16,31,What was the name of Dr Dolittle’s Parrot,Polynesia
16,32,What was the name of William Tells son (the apple head boy),Walter
16,45,Sam Barraclough owned which film star,Lassie
16,49,Who wrote A Town Like Alice,Nevil Shute
