Page #,Question #,Question Text,Answer
199,51,In Star Trek the Ferengi 10th rule of Acquisition what is eternal,Greed
199,53,What is grandpa Simpsons first name,Abraham
199,57,Where did you find Shadow Speedy Bashful Pokey Pac man Blinky Pinky Inky Clyde,Pac man
199,62,Charles Portis wrote the novel of the film John Wayne's Oscar,True Grit
199,68,Hitchcock appears in a newspaper in Lifeboat who wrote book,John Steinbeck
199,69,Which detective dies in The Final Problem,Sherlock Holmes
199,72,Name the X man who shoots laser beams from his eyes,Cyclops
199,73,Titanic music score sales are greatest which film did it beat,Chariots of Fire – Vangelis
199,76,In Star Trek Generation what does Captain Picard drink,Earl Grey Hot
199,80,Name UK TV show with Jim Hacker and Sir Humphry Appleby,Yes Minister
199,86,The song There is nothing like a dame appears in which musical,South Pacific
199,95,Annika Hansen is which characters name in Star Trek Voyager,Seven of Nine
199,97,Daniel Keys wrote which 1959 Hugo award winning SF novel,Flowers for Algernon
199,98,In the Dr Dolittle stories what type of creature was Too-Too,Owl
199,100,The Character Mary Goodnight was the Bond girl in which film,The man with the golden gun
