Page #,Question #,Question Text,Answer
149,56,What is the first name of Agatha Christies Miss Marple,Jane
149,58,You are a saucy boy comes from what Shakespeare play,Romeo and Juliet
149,59,Which film won the best sound effects Oscar in 1987,Robocop
149,65,In wacky races who drove the Creepy Coop,Gruesome Twosome
149,66,"Whose catchphrase was ""Stop messing About""",Kenneth Williams
149,67,John Dick Ann Timmy who is missing from this famous five,Julian
149,71,Author of Good as Gold and Closing Time but famed for another,Joseph Heller Catch
149,78,In Shakespeare King Lear was king of where,Britain
149,80,Which film won the best song Oscar in 1971,Shaft - The theme
149,86,Dr Teeth was the leader of the band Electric Mayhem - where,The Muppet Show
149,89,What was the first Disney animated film released on video,Dumbo
149,90,In Superman what was the original name of The Daily Planet,The Daily Star
149,97,Dance with a Stranger was the film of who's life story,Ruth Ellis
149,100,In which film was the best supporting actor Oscar won in 1975,The Sunshine Boys
