Page #,Question #,Question Text,Answer
69,58,Who would use a barny to reduce noise,Film Cameraman cosy over cam
69,59,In AFTs top 100 movies only 2 sequels - Godfather and what,French Connection II
69,64,What was David Leans first film,Oliver Twist
69,67,In what film did Tommy Lee Jones make his debut,Love Story - As Hank
69,70,Julian Dick George Anne and who make the famous five,Timmy the Dog
69,71,Who was The Little Playful One,Pocahontas
69,75,Bridge River Kwai - Bridges Toki Rio - what actor links films,William Holden
69,78,In the Little Mermaid fairy tale what happens to her,She Dies
69,79,Why was Clark Kent rejected military service during WW2,Failed eye test
69,80,Who wrote the title song for Live and let Die,Paul McCartney
69,83,Who was the first woman to win an Oscar best actress 1928,Janet Gaynor
69,92,Who is the adopted son of Vito Corleone,Tom Hagan
69,95,Who is Dumbella,Donald Ducks sister
