Page #,Question #,Question Text,Answer
92,6,Who won Oscars for Jaws ET Star Wars Schindlers List,John Williams (music)
92,8,Shakespeare play set in Ephesus has two pairs identical twins,Comedy of Errors
92,12,Who appeared as the infant Moses 1956 film 10 commandments,Frazer Heston – Charlton's son
92,17,Elmo Lincoln was the screens first what 1918,Tarzan
92,19,Gus Wickie Pinto Colvig William Pennell Jackson Beck - Link Bluto in,Popeye
92,21,What masked hero first appeared 1919 The Curse of Capistrano,Zorro
92,26,In The Italian Job Noel Coward played what character in prison,Mr Bridger
92,27,Where is John Frost bridge shown on A Bridge too Far,Arnham - it was renamed after him
92,30,In South Dakota its illegal to show movies that picture what,Police getting beaten
92,32,Michael Henchard better known as what eponymous literary hero,The Mayor of Castorbridge T Hardy
92,34,What was the name of Roy Rogers dog (now stuffed),Bullet
92,37,In what 1998 did film David Bowie play Pontius Pilot,Last Temptation of Christ
92,41,What is the name of the Australian Film Institute Award,Longford – (Raymond)
92,44,The first cartoon character on the Beano was Eggo what was he,Ostrich
92,50,Andrew John Woodhouse in fiction was who - Ira Levin novel,Rosemary's Baby
