Page #,Question #,Question Text,Answer
156,1,Which group wished it could be Christmas every day,Wizard
156,5,Somewhere My Love was the theme song of which movie,Doctor Zhivago
156,6,Whose first book was called Child Whispers,Enid Blyton
156,8,The Bronte sisters had a brother name him,Branwell
156,15,Philip Glass wrote an opera about which famous person,Albert Einstein
156,17,Janet Jackson had a starring role in which TV series,Fame
156,19,Whose autobiography was entitled Past Imperfect,Joan Collins
156,20,Who played bass guitar in Suzi Quarto's group,Suzi Quatro
156,22,In Peter Pan what were the names of Wendy's brothers,Michael John
156,23,Who wrote the series of novels with the hero Sharp,Bernard Cornwell
156,27,Elaine Bookbinder became more famous as who,Elkie Brooks
156,29,Ann Ziegler was the singing partner of which film star,Webster Booth
156,34,What kind of dancer was Mister Bojangles,A Tap Dancer
156,35,It's now the Birmingham Royal Ballet but it used to be what,Saddlers Wells Opera
156,36,Harry Patterson is the real name of which author,Jack Higgins
156,40,Who was born Mark Feld,Marc Bolan
156,41,Tosca is the heroine of the opera but what is her first name,Floria
156,42,Cavatina what the theme music to which film,The Deer Hunter
156,45,Which character first appeared in the book Call for the Dead,George Smiley by John LeCarre
156,49,Sean Connery has what real first name,Thomas
156,50,Jeffery Archer wrote Kane and Abel what was the sequel called,The Prodigal Daughter
