Page #,Question #,Question Text,Answer
3,53,Who won an Oscar for the African Queen,Bogart
3,54,Who sang the theme song in 9 to 5,Dolly Parton
3,56,Ringo Star narrates which children's TV series,Thomas the tank engine
3,60,In Casablanca what is the name of the nightclub,Rick's
3,61,What was the first James Bond book,Casino Royal
3,77,Who did Michael Caine play in the Ipcress File (both names),Harry Palmer
3,78,Who won Euro song contest,Save All Your Kisses For Me Brotherhood of Man
3,79,Which country had the guns of Naverone installed,Turkey
3,86,Who in books and films was the man of bronze,Doc Savage
3,87,Who was Stan Laurels partner,Oliver Hardy
3,95,Ray Bolger played who in The Wizard of Oz,Scarecrow
