Page #,Question #,Question Text,Answer
171,54,Which US sportsman is mentioned in The Old Man and the Sea,Joe De Maggio
171,58,Book of Shadows is the alternative title for which horror film,Blair Witch 2
171,63,Cary Grant and Noel Coward both rejected which famous role,James Bond
171,64,In Winnipeg there is a statue to which bear,Winnie the Pooh
171,66,In which Bond novel did he first want Martinis shaken not stirred,Diamonds are Forever
171,71,Name the Shakespeare character son of the witch Sycorax,Caliban in The\nTempest
171,83,What was the name of the pub in The Dukes of Hazard,Boars Nest
171,89,In the Fantastic Four what is Mr Fantastic name,Reed Richards
171,94,"The last line of which TV show was \Good bye Margaret\""""",MASH
171,95,In Star Wars what is the Emperors last name,Palpatine
