Page #,Question #,Question Text,Answer
12,5,Who was the hero of the old TV cop series Dragnet,Sergeant Joe Friday
12,16,Marnie Nixon what Deborah Kerr Natilie Wood Audrey Hepburn Dubbed in their singing voices,Dubbed in their singing voices
12,22,Nobody's perfect is the last line in which classic comedy film,Some Like it Hot
12,25,What three counties were Eliza Dolittle taught to pronounce,Hertford Hereford Hampshire
12,26,In Hitchcock's film The Trouble with Harry - what was the trouble,He was dead
12,30,"Who said ""Its so long since sex I forget who gets tied up""",Joan Rivers
12,38,Richard Penniman became famous as who,Little Richard
12,40,"Who said ""men are creatures with two legs and 8 hands""",Jayne Mansfield
12,44,Who sang the title song in the film Grease,Frankie Valli
12,49,Who is the most filmed author,Shakespeare over 300
