Page #,Question #,Question Text,Answer
71,53,Harvey Lee Yeary II became famous under what name,Lee Majors
71,57,In The Lion the Witch and the Wardrobe whets the Lions name,Assan
71,60,Who sang the theme song for Rawhide,Frankie Lane
71,74,What was the name of Felix the Cats girlfriend,Phyllis
71,76,Jerome Siberman became famous as who,Gene Wilder
71,80,What job Michael Cane Uma Thurman Sidney Poitier common,Dish washers
71,81,Who sang for Lauren Bacall in To Have and Have Not,Andy Williams
71,83,Magnum PI wore a baseball cap supporting what team,Detroit Tigers
71,89,Chuck Berry Art Garfunkle Robert Redford had what job,Carpenters
71,90,In The Muppet Movie who sang for Miss Piggy,Johnny Mathis
71,95,Demetria Gene Guynes became famous as who,Demi Moore
71,96,What colour was Tweety Bird originally,Pink
