Page #,Question #,Question Text,Answer
109,52,Victor Buono played what Batman villain in the original series,King Tut
109,54,Actor was known as Singing Sandy (dubbed) early in career,John Wayne
109,62,In the Beverly Hillbillies what did Jethro get Jed for his birthday,Electric Pencil sharpener
109,64,Where did Hamlet send his girlfriend Ophelia,A Nunnery
109,65,What was the police chiefs name in the first two Jaws films,Martin Brody
109,72,Simpson's what was Homers nickname as baseball team mascot,Dancing Homer
109,74,Rhett Butler of Gone With the Wind was born where,Charleston
109,82,In Life of Brian what name does Stan want to be known as now,Loretta
109,83,Its all Greek to me comes from what Shakespeare play,Julius Caesar
109,84,What was the name of the high school in the movie Grease,Rydell
109,92,Happy Days was a spin off from what US TV show,Love American Style
109,94,HG Wells invisible man had what physical oddity,Albino
109,96,Measure for Measure deals with what contemporary theme,Angelo harasses Isabella sexually
