Page #,Question #,Question Text,Answer
27,61,"Whose last words were - ""That was the best soda I ever tasted""",Lou Costello
27,64,Vincent Furnier is better known as who,Alice Cooper
27,66,Terrance Nelhams became better knows as who,Adam Faith
27,69,In which cop show did Petrie and Isbecki appear,Cagney and Lacey
27,77,What is Sean Connery's real first name,Thomas
27,79,Who said - Toe err is human - But it feels divine,Mae West
27,81,Declan McManus became famous as who,Elvis Costello
27,83,"Who said ""I have no problems with drugs - only policemen""",Keith Richard
27,87,Which sailor dreamed of Toasted Cheese in Treasure Island,Ben Gunn
27,88,Who played the girl on the motorcycle in a film of same name,Marianne Faithful
27,99,Reginald Carey became famous as who,Rex Harrison
