Page #,Question #,Question Text,Answer
175,53,Name Chewbacca's son - seen Star wars holiday special 1978,Lumpy
175,66,How did Miss Piggy tell the difference between love and lust,By spelling
175,69,In the film Bambi what is Bambi's first word,Bird
175,75,In song who is the man who made Eastwood such a star,The fall guy – unknown stuntman
175,77,Pooh loves honey but which creature loves watercress,Roo
175,78,Who has a tattoo saying Starland Vocal Band,Homer Simpson
175,79,The African Queen Bogart Hepburn but who should it have been,David Niven Bette Davis
175,84,Life Love Cows French translation of which film,City Slickers
175,92,Name actor called The voice of Canada - had 1964 hit Ringo,Lorne Green
175,95,A can of orange crush appears on every episode what TV series,ER
175,98,Police Academy got its theme song from which other film,Patton
175,1,What actor was born Krishna Bhanji,Ben Kingsley
