Page #,Question #,Question Text,Answer
55,52,Who wrote the Dune series of SF novels,Frank Herbert
55,56,David Cook became famous as who,David Essex
55,63,Who is the Patron Saint of TV,St Clare
55,66,Who rode Rocinante,Don Quixote
55,76,Thomas Harris created what character,Hannibal Lector
55,77,George Hoy-Booth became famous as who,George Formby
55,82,Mildrid Harris Lita Grey Paulette Goddard Oona O Neil - Link,Charlie Chaplains wives
55,83,What was first work of fiction blessed by the Pope,Ben Hur – Lew Wallace
55,84,What Hollywood actress was the Laurence Olivier of Orgasms,Hedy Lamarr
55,92,The King of Barataria alternative name what G&S operetta,The Gondoliers
55,95,John Simon Richie became famous as who,Sid Vicious
