Page #,Question #,Question Text,Answer
168,6,Venus and Adonis was whose first published work,William Shakespeare
168,8,In the Archie comics what is Jughead's first name,Forsyth
168,13,Where would you find the original Mr Plod,Noddy books
168,15,Which PC game shares it name with a Bond film character,Solitaire
168,20,When Harrison Ford was The Fugitive who was the lawman,Tommy Lee Jones
168,24,West Side Story tells about the West side of what or where,Fifth Avenue
168,28,Character in a movie series named Sanskrit word warrior what,Yoda from Yoddha
168,31,In which TV program did Sergeant Bosco appear,A Team
168,36,Which novel has the longest sentence in literature 823 words,Les Miserables – 
168,38,Crab is the only named one in any Shakespeare play - what,Dog - Two Gentlemen
168,46,Which cartoon character was originally pink and called Orsen,Tweety Pie
168,50,What fictional Englishman belongs to the Ganymede club,Jeeves
