Page #,Question #,Question Text,Answer
48,2,Alphonso D'Abruzzo became famous as who,Alan Alda
48,4,Who is Warner Brothers oldest cartoon character,Porky Pig
48,15,Eight Arms To Hold You - working title - what movie,Beatles Help
48,19,What star once sold lingerie door to door,Burt Lancaster
48,21,David Robert Hayward-Jones became famous as who,David Bowie
48,25,What was Fonzies favourite magazine,Hot Rod
48,27,What was Bugs Bunnies original name,Happy Rabbit
48,28,Who was Ben Casey's boss,Dr Zorba
48,34,Lalo Schifrin composed which famous TV series theme,"Mission Impossible –
plus others"
48,38,What star had a job as aircraft factory inspector,Marilyn Munroe
48,44,Who was the wise cat in TS Eliot's book of cats,Old Deuteronomy
48,46,What actor did time on a Georgia Chain Gang - Escaped 6 days,"Robert Mitchum –
Vagrancy"
