Page #,Question #,Question Text,Answer
94,1,What actor dropped out university to be a dishwasher,Warren Beaty
94,2,What links a Sylvester Stallone character and Panama,"Balboa Panama cash
Rocky name"
94,5,Who was the leader of the wolves in Kipling's Jungle Book,Akala
94,6,Jill Oppenheimer changed her name to become famous as who,"Jill St John – Tiffany
Case in Bond film"
94,10,Cry Freedom was Richard Attenborough's film about who,Steve Biko
94,12,In The African Queen what was the name of the steam launch,The African Queen
94,15,Who did Fess Parker play in on TV 1964,Daniel Boone
94,17,Who was dropped by 20th cent Fox for being too ugly,"Marilyn Munroe by
Darryl Zanuck"
94,27,Caractacus Potts drove what car,Chitty Chitty Bang Bang
94,33,Who failed an audition for Fame because was not pretty enough,Tom Cruise
94,34,What character in the Jungle Books name means frog,Mougli
94,42,What Hollywood star was the inspiration for Bugs Bunny,Clark Gable
94,44,Who developed the method school of acting,Konstanstin Stanislavsky
