Page #,Question #,Question Text,Answer
130,5,Who wrote Moon River used in Breakfast at Tiffanies,Henry Mancini
130,6,Name Stephen King's first published novel,Carrie
130,12,In the Harry Potter books what is Aragog,Chief Spider
130,13,Who wrote Goodbye Mr Chips,James Hilton
130,16,Sherlock Holmes paid 55 shillings for what,His Stradivarius violin
130,20,The musical Chu Chin Chow is based on what fable,Ali Baba and the forty
130,28,Who directed Star Trek films 3 and 4,Leonard Nimoy
130,30,In Shakespeare's Merchant of Venice name Shylocks wife,Leah
130,39,"What film began ""Most of what follows is true""",Butch Cassidy and the
130,47,Who was known in Germany as Der Bingle,Bing Crosby
130,49,Who's first play was The Room,Harold Pinter
130,50,What type of creature was Salar - that Tarka would like to eat,Salmon
