Page #,Question #,Question Text,Answer
4,1,Who wrote the Opera Madam Butterfly,Puccini
4,6,Rudy Stevens became famous under which name,Barbara Stanwyck
4,10,Who wrote the Man in the Iron Mask,Alexander Dumas
4,11,Which 1993 Disney film starred Bet Middler as a witch,Hocus Pocus
4,13,What was the first James Bond film,Dr No
4,20,Alan Stuart Konigsberg famous as who,Woody Allen
4,26,Who wrote Northanger Abbey,Jayne Austin
4,28,Who composed the Brandeberg concertos full names,Johan Sebastian Bach
4,32,Who composed the ballets Sleeping Beauty and The Nutcracker,Tchaikovsky
4,34,Benjamin Kubelsky 1894 fame as what comedian,Jack Benny
4,36,Robin Williams dressed in drag for which 1993 film,Mrs Doubtfire
4,43,Who wrote Catch 22 (both names),Joseph Heller
4,47,Bombardier Billy Wells was seen on many Rank films - why,Hit Gong
