Page #,Question #,Question Text,Answer
13,52,What was the last item shown on British TV before WW2,Mickey Mouse
13,59,Who is the most filmed comic strip character,Zorro
13,60,Whose version of A View to a Kill reached 1 in USA 2 in UK,Duran Duran
13,72,Who created the TV series - The man from UNCLE,Ian Fleming
13,73,Which film director described actors as cattle,Alfred Hitchcock
13,74,Shirley Bassey sang three Bond themes - which 3 films,"Goldfinger,
Diamonds are 
Forever, Moonraker"
13,84,What is the first name of Mr Toad - in Toad of Toad Hall,Thaddeus
13,92,Tracey and Hepburn first film in 1942 was what,Woman of the Year
13,97,The SF award the Hugo is named after Hugo who?,Gernsbeck
13,98,Maurice Micklewhite became famous as who,Michael Caine
