Page #,Question #,Question Text,Answer
52,9,What actor links Von Ryan's Express - Magnificent Seven,Brad Dexter
52,16,Who wrote the novel SHE (both names),Rider Haggard
52,17,Ennio Morricone wrote the music for what film series Good bad ugly etc,Spaghetti westerns
52,22,Who are Mickey Mouse's nephews,Mortie and Ferdie
52,29,What TV character lived in Waratah National Park,Skippy
52,31,What was the name of the horse before Silver in lone ranger,Dusty
52,33,Armand Tarmizan is the 'real' name what cartoon character,Principle Skinner
52,36,Walt Disney had an obsessive compulsion with what,Cleanliness - washed hands every 5 min
52,37,What links Kelly Highway Block and Wales,Clint Eastwood character names
52,38,Who sang the theme song in From Russia with Love,Matt Munroe
52,43,What is Lieutenant Colombo's first name,Philip
