Page #,Question #,Question Text,Answer
45,70,Paul Morel was a character in which classic novel,Sons and Lovers
45,72,What fictional archaeologist trained under Prof Abner Ravenwood,Indiana Jones
45,73,What singer did Elvis Presley say was the greatest in the world,Roy Orbison
45,74,To whom is the Wizard of Oz dedicated,The Young in Heart
45,76,What is the name of Alice's cat Disney Alice in Wonderland,Dinah
45,81,What was Barnaby Jones usual tipple,Milk
45,84,Who played Commodious in the Oscar winning Gladiator,Joaquin Phoenix
45,86,"What actress said ""I acted vulgar - Madonna is vulgar""",Marlene Dietrich
45,92,What instrument does Grumpy play in Disney's Snow White,Organ
45,93,Vienna is the setting for what Shakespeare play,Measure for Measure
45,98,Rawdon Crawley was a character in what classic novel,Vanity Fair
