Page #,Question #,Question Text,Answer
174,2,Who wrote the three act opera The Rakes Progress,Igor Stravinsky
174,4,Anna Maria Louisa Italiano became famous as who,Ann Bancroft
174,7,Who first appeared in the cartoon strip Thimble Theatre,Olive Oyl
174,9,In Watership Down rabbit language what is a hrududu,A motor car
174,11,What do Beavis and Butt-head have on their T shirts,Metallica - AC/DC
174,13,In the Phantom of the Opera how does the Phantom sign notes,OG - Opera Ghost
174,19,Name Jennifer Anniston's Godfather,Telly Savalas
174,23,Where did you find cherry strawberry orange apple grape bird,Pac Man speed up things
174,24,Which actor refused the leading role in Laurence of Arabia,Marlon Brando
174,29,What did Peter Sellers use as an ink blotter in the Pink Panther,A Cat
174,33,Who was a knight of the order of the inverted dragon in Hungary,Count Dracula following his father
174,35,The black and white episode of Chicago Hope is a tribute to who,Alfred Hitchcock
174,38,What actor Howard Hughs call pay toilet didn't give shit nothing,Robert Mitchum
174,41,In the Snoopy cartoons what does Lucy offer in her booth,Psychiatric help
174,42,And what does she charge,Five cents
174,46,Name the hummingbird in Disney's Pocahontas,Flit
174,49,What was the theme song of the film The Grapes of Wrath,Red River Valley
