Page #,Question #,Question Text,Answer
142,7,In which 1960 film did Elvis Presley play a mixed race character,Flaming Star
142,8,What profession had Lemual Gulliver when he was shipwrecked,Ships surgeon
142,11,Thomas Caneery writer Schlinders Ark comes from what country,Australia
142,17,What Shakespeare character ends saying The rest is Silence,Hamlet
142,18,Name John Huston's last film,The Dead
142,19,Who was the father of Icarus,Daedalus
142,34,What mythical beast is a cross between a lion and an eagle,Griffin
142,39,The half wit Smike appears in which Dickens novel,Nicholas Nickleby
142,43,Who wrote the book The Amazing Mr Ripley,Patricia Highsmith
142,49,Who is the Greek Goddess of witchcraft and black magic,Hecate
