Page #,Question #,Question Text,Answer
134,1,What star sign is Harry Potter,Leo
134,3,In the USA it’s the Oscars what is it in France,Caesars
134,13,Ford Prefect came from a star in which constellation,Orion (Betelgeuse)
134,17,The author of Moll Flanders wrote which more famous work,Robinson Crusoe
134,21,What Shakespeare play Course true love never did run smooth,Midsummer Nights Dream
134,22,All my Yesterdays is which actors autobiography,Edward G Robinson
134,25,The Wheel Spins Ethel Lina White basis for what Hitchcock film,The Lady Vanishes
134,27,In Kiplings poem Gunga Din what job had Gunga Din,Water Carrier
134,29,Who is the boss of UNCLE,Mr Waverley
134,38,Whose horse was Black Nell,Wild Bill Hickoks
134,42,Name Ernest Hemmingway's book dealing with bullfighting,Fiesta
134,44,In the Wizard of Oz name the Good Witch of the North,Glinda
134,46,Who's first book was Pebble in the Sky,Isaac Asimov
