Page #,Question #,Question Text,Answer
89,52,Jane Peters became famous as who - ( Clark Gables wife ),Carol Lombard
89,64,Orbis non Sufficit - World is not enough - whose family motto,James Bond
89,69,What links Yul Bryner Burt Lancaster WC Fields Joe E Brown,Circus Performers
89,70,Outfit/costume first seen 1914 film Kid Auto Races at Venice,Chaplin's Tramp outfit
89,72,Who was found dead in Hollywood's Landmark Hotel 4 Oct 1970,Janis Joplin
89,79,Who first appeared in the film A Tale of two Kitties in 1942,Tweety Pie
89,81,What links Steve McQueen Ian Botham Spike Milligan,All called Terence
89,88,What was the first film musical based on a Shakespeare play,The boys from Syracuse C of Error
89,92,Name the first British actress to appear on a British stamp 1985,Vivien Leigh
89,93,Patricia Holm is the girlfriend of what famous fictional character,Simon Templar The Saint
89,94,Comic strip character 1920s name means meek person in USA,Casper Milquetoast
89,95,Sylvester Stallone film shares name with Paris art movement,Cobra
89,96,What fictitious murderer first appeared in String of Pearls 1840s,Sweeny Todd
89,97,In what film were Aldeberan Antares Atair Rigel seen,Ben Hur - horses on his chariot
