Page #,Question #,Question Text,Answer
100,3,What author wrote about Adrian Mole,Sue Townsend
100,11,Mickey Mouse's Pluto had what name when he first appeared,Rover
100,15,Who wrote The Hunchback of Notre Dame,Victor Hugo
100,17,Violetta Valery is better know as who in the world of opera,La Traviata - by Verdi
100,18,Sarah Jane Fulks - Anne Francis Bobbins both married who,Ronald Reagan J Wyman N Davis
100,27,In The Arabian Nights what was Ali Babas job,Woodcutter
100,33,The Indestructible Iron man fights against the Electronic Gang Hong Kong translation of what film,A View to a Kill
100,36,The brutal treatment of Billy Hayes was the inspiration what film,Midnight Express
100,38,Fritz Von Werra was the only German pilot WW2 to do what,Escape - The one that got away
100,41,Oscar winner was rejected as Honey Rider Dr No too small tits,Julie Christie – by Cubby Broccoli
100,43,J K Rowling wrote the Harry Potter series what do the JK mean,Joanne Kathleen
100,45,Mary Cathleen Collins changed her name to what,Bo Derek
100,46,Wesley Snipes and who starred in the film Money Train 1995,Woody Harrelson
100,47,In what Elvis film does he play a hillbilly garage hand,Loving You
