Page #,Question #,Question Text,Answer
183,53,Knock-Knock was the first cartoon starring what character 1940,Woody Woodpecker
183,57,TVs Ben Casey started with Man Woman Birth Death and what,Infinity
183,60,In the film Jumping Jack Flash what is Jack's code key,B Flat
183,65,Who is the tallest telletubbie,Tinky Winky
183,67,In the A Team name Murdoch’s invisible dog,Billy
183,76,Which duo has won seven Oscars,Tom and Jerry
183,79,What Bond thing did Roger Moore not do in 7 films,Drink Martinis - and smoke
183,85,Name Casper the friendly ghosts horse,Nightmare
183,89,Name Lois Lanes stewardess sister,Lucy Lane
183,97,Name Indiana Joneses dog,Indiana
183,100,What was the first 90 minute TV series in 1962,The Virginian
